,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
3,A,D,G,J,M,P,S,V,Y,B,E,H,K,N,Q,T,W,Z,C,F,I,L,O,R,U,X
5,A,F,K,P,U,Z,E,J,O,T,Y,D,I,N,S,X,C,H,M,R,W,B,G,L,Q,V
7,A,H,O,V,C,J,Q,X,E,L,S,Z,G,N,U,B,I,P,W,D,K,R,Y,F,M,T
9,A,J,S,B,K,T,C,L,U,D,M,V,E,N,W,F,O,X,G,P,Y,H,Q,Z,I,R
11,A,L,W,H,S,D,O,Z,K,V,G,R,C,N,Y,J,U,F,Q,B,M,X,I,T,E,P
15,A,P,E,T,I,X,M,B,Q,F,U,J,Y,N,C,R,G,V,K,Z,O,D,S,H,W,L
17,A,R,I,Z,Q,H,Y,P,G,X,O,F,W,N,E,V,M,D,U,L,C,T,K,B,S,J
19,A,T,M,F,Y,R,K,D,W,P,I,B,U,N,G,Z,S,L,E,X,Q,J,C,V,O,H
21,A,V,Q,L,G,B,W,R,M,H,C,X,S,N,I,D,Y,T,O,J,E,Z,U,P,K,F
23,A,X,U,R,O,L,I,F,C,Z,W,T,Q,N,K,H,E,B,Y,V,S,P,M,J,G,D
25,A,Z,Y,X,W,V,U,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,C,B
