t,i,n,o,p,e,l
n,c,n,n,s,t,a
c,e,i,e,n,o,e
c,m,n,f,g,r,o
t,h,c,o,r,i,n
a,t,t,h,e,f,o
e,r,y,a,i,n,t
u,t,c,i,s,t,n
l,o,i,t,p,h,o
e,n,d,t,t,e,x
f,u,l,l,y,i,n
t,c,e,m,e,s,w
d,g,u,e,e,o,o
i,n,s,a,r,r,t
e,e,t,i,m,g,o
r,d,o,f,t,h,e
r,e,o,d,r,e,c
o,a,g,d,n,e,a
i,c,n,s,s,n,o
e,d,i,s,h,u,s
o,t,e,s,o,f,t
e,r,n,o,n,a,l
a,f,p,r,m,s,l
t,l,i,n,i,o,h
f,t,o,n,e,y,w
l,s,w,e,r,e,l
n,o,a,f,i,c,i
r,u,a,g,a,f,i
t,d,o,h,s,n,r
a,n,a,n,i,a,u
t,h,e,r,u,s,s
c,u,s,s,i,o,n
d,l,s,h,e,s,i
o,o,a,l,t,t,f
e,a,c,c,t,u,n
d,a,c,c,u,r,a
d,a,n,u,l,l,a
i,r,e,c,e,f,v
l,g,w,e,i,e,e
e,t,i,n,e,w,h
s,o,f,t,h,e,m
a,l,e,i,n,u,t
i,e,i,f,f,m,c
o,n,a,k,t,o,t
t,t,e,r,e,o,t
o,u,l,d,b,e,b
s,t,w,a,t,i,t
d,r,r,e,a,h,e
t,u,e,i,e,l,h
p,e,r,s,o,a,d
r,e,a,b,l,e,t
i,c,e,a,l,s,w
o,t,f,h,e,i,f
a,a,b,i,g,t,m
l,a,y,f,p,i,r
t,o,a,s,t,h,e
i,l,r,r,e,f,e
h,w,w,i,c,l,i
a,t,e,m,t,h,g
o,u,s,s,l,r,a
t,m,a,r,v,e,l
b,y,s,h,e,m,o
i,e,s,e,m,t,e
g,a,u,r,n,n,o
s,i,o,n,u,m,o
m,u,m,c,o,n,f
s,u,i,e,m,a,x
o,b,n,e,t,r,e
e,h,e,a,w,l,r
n,c,e,t,a,e,y
i,g,n,i,f,i,c
g,r,s,a,t,e,r
f,u,r,o,f,e,a
i,n,e,b,p,t,r
t,o,m,a,t,e,m
a,n,d,t,h,e,o
e,n,a,u,s,s,i
t,a,e,b,e,r,w
i,h,g,w,m,r,n
f,o,r,t,e,c,o
r,e,f,o,r,t,h
d,t,a,p,r,e,p
e,w,e,n,e,o,d
e,l,c,e,g,e,n
i,n,t,e,e,l,i
s,w,i,t,h,t,h
o,v,u,d,i,n,g
s,d,r,n,g,i,p
o,h,e,e,r,i,c
t,o,n,t,r,e,p
m,t,o,r,e,p,o
u,a,e,e,d,t,h
e,e,s,s,p,d,r
f,a,i,c,o,r,f
e,n,t,s,g,n,d
u,e,s,o,u,r,a
t,h,n,r,e,t,i
s,m,f,e,r,e,o
o,j,m,e,i,b,r
o,t,h,e,t,u,n
r,e,s,s,u,r,e
c,a,p,e,f,u,l
i,p,g,l,y,r,n
e,t,y,a,t,p,g
a,i,r,s,f,r,a
t,h,e,p,l,a,y
t,o,w,o,l,l,o
d,d,d,c,i,f,e
s,s,w,e,d,e,o
i,p,a,l,c,a,n
t,h,e,p,r,i,n
l,u,g,n,c,i,n
i,p,f,o,f,e,n
n,l,h,o,o,e,o
l,i,t,t,e,e,t
o,u,l,d,h,a,v
r,t,w,a,t,w,e
l,w,a,s,c,h,e
n,s,i,t,o,a,s
i,s,c,u,d,s,i
n,t,i,n,t,h,e
n,v,e,l,v,e,m
e,h,i,e,v,o,l
h,h,i,g,c,l,h
s,w,i,t,e,s,u
a,d,e,r,o,u,t
r,o,r,o,u,r,t
o,t,t,o,c,l,n
f,e,g,h,d,t,i
u,n,i,t,d,a,n
h,e,y,w,o,u,l
i,s,t,t,h,a,t
a,s,r,r,e,k,l
r,d,w,a,e,a,e
n,s,a,n,a,t,h
t,h,e,b,a,l,k
v,e,n,e,n,t,i
v,a,l,i,n,m,o
u,s,s,i,r,s,s
t,e,r,m,e,o,n
t,t,o,a,g,r,e
d,r,e,s,s,y,m
d,o,n,a,n,a,a
c,f,a,k,r,v,h
j,o,s,e,z,g,o
d,e,r,f,r,a,n
n,g,n,l,e,x,a
e,d,i,m,e,a,t
h,r,t,a,c,t,s
f,t,h,e,o,e,i
a,g,e,m,e,n,t
o,r,n,h,e,m,a
g,r,f,t,e,t,y
i,n,s,t,h,a,s
e,t,h,a,v,i,n
e,f,f,e,c,t,i
b,e,e,n,m,o,r
