e,l,n,o,p,t,i,t,a,
n,n,s,n,c,o,e,i,e,
n,c,e,r,o,n,f,g,c,
m,i,n,c,o,r,t,h,f,
o,t,h,e,a,t,n,t,y,
a,i,e,r,t,n,c,i,s,
u,t,h,o,i,t,p,l,o,
e,x,d,t,t,e,n,i,n,
l,l,y,f,u,s,w,e,m,
e,t,c,o,o,u,e,e,d,
g,r,t,s,a,r,i,n,g,
o,t,i,m,e,e,h,e,o,
f,t,r,d,e,c,o,d,r,
r,e,e,a,g,d,n,o,a,
n,o,n,s,s,i,c,u,s,
i,s,h,e,d,f,t,e,s,
o,o,t,a,l,n,o,n,e,
r,s,l,p,r,m,a,f,o,
h,i,n,i,t,l,y,w,o,
n,e,f,t,e,l,w,e,r,
l,s,c,i,a,f,i,n,o,
f,i,a,g,a,r,u,n,r,
o,h,s,t,d,a,u,a,n,
i,a,n,s,s,e,r,u,t,
h,o,n,s,s,i,c,u,s,
i,s,h,e,d,l,t,f,a,
l,t,o,o,u,n,c,c,t,
e,a,r,a,c,c,u,d,a,
l,a,n,u,l,d,a,f,v,
e,c,e,i,r,e,e,w,e,
i,l,g,w,h,i,n,e,e,
t,e,m,f,t,h,s,o,u,
t,e,i,n,a,l,m,c,i,
f,f,i,e,o,t,a,k,t,
o,n,o,t,e,r,e,t,t,
e,b,l,d,b,o,u,i,t,
w,a,t,s,t,h,e,r,e,
a,d,r,l,h,e,i,e,t,
u,a,d,r,s,o,p,e,e,
t,a,b,l,r,e,s,w,e,
a,l,i,c,i,f,f,h,e,
o,t,t,m,b,i,g,a,a,
i,r,y,f,p,l,a,h,e,
a,s,t,t,o,f,e,r,r,
e,i,l,l,i,w,i,c,h,
w,h,g,e,m,t,a,t,r,
a,s,s,l,o,u,e,l,a,
r,v,t,m,m,o,s,h,e,
b,y,t,e,s,e,m,i,e,
n,o,u,r,n,g,a,m,o,
o,n,u,s,i,n,f,m,c,
o,m,u,a,x,i,e,m,s,
u,r,e,n,e,t,o,b,l,
r,e,a,w,e,h,e,y,e,
t,a,n,c,i,c,n,i,f,
i,g,e,r,s,a,t,g,r,
e,a,r,o,f,f,u,t,r,
e,b,p,i,n,e,m,m,a,
t,t,o,e,o,d,t,h,a,
n,s,i,a,u,s,e,n,r,
w,e,b,e,t,a,r,n,g,
w,m,i,h,c,o,r,t,e,
f,o,t,h,f,o,r,r,e,
e,p,a,p,r,d,t,o,d,
e,n,e,e,w,e,n,c,e,
g,e,l,l,i,t,e,e,i,
n,t,h,i,t,h,s,w,n,
g,u,d,i,o,v,i,p,r,
n,g,s,d,i,c,e,e,r,
o,h,e,p,n,t,r,t,o,
p,o,o,r,e,m,t,t,h,
e,e,d,u,a,d,r,s,s,
p,e,e,r,f,i,c,o,f,
a,n,d,t,s,g,e,n,r,
a,s,o,u,u,e,t,i,n,
r,e,t,h,e,o,f,e,r,
s,m,b,r,m,e,i,o,j,
u,n,h,e,t,o,t,r,e,
s,s,u,r,e,u,l,p,e,
f,c,a,r,n,g,l,y,i,
p,p,g,y,a,t,e,t,r,
a,r,s,f,a,i,a,y,e,
p,l,t,h,l,o,w,o,l,
t,o,f,e,d,c,i,d,d,
e,o,w,e,d,s,s,a,n,
a,l,c,i,p,i,n,e,p,
r,t,h,i,n,g,n,c,l,
u,e,n,f,o,f,i,p,e,
o,h,o,o,n,l,e,t,t,
t,e,l,i,a,v,l,d,h,
o,u,w,e,w,a,t,r,t,
h,e,a,s,c,l,w,a,s,
i,t,o,n,s,s,i,c,u,
d,i,s,h,e,i,n,t,n,
t,e,m,e,l,v,n,v,o,
l,i,e,v,e,h,l,h,i,
g,c,h,h,s,u,i,t,e,
s,w,u,t,e,r,o,a,d,
r,t,r,o,u,r,o,l,n,
t,o,c,o,t,t,i,g,h,
d,f,e,a,n,i,t,d,u,
n,u,l,y,w,o,h,e,a,
t,t,t,h,i,s,k,l,r,
r,e,a,s,a,e,w,a,e,
r,d,t,h,a,n,a,n,s,
l,k,e,b,a,t,h,t,i,
n,e,n,v,e,m,o,l,i,
n,v,a,s,s,s,i,r,u,
s,o,n,r,m,e,t,e,r,
e,o,a,g,t,t,y,m,e,
s,s,d,r,a,a,n,a,n,
d,o,v,h,a,k,r,c,f,
g,o,s,e,z,j,o,a,n,
r,f,r,d,e,x,a,n,l,
e,n,g,a,t,i,m,e,e,
d,t,s,t,a,c,h,r,e,
i,h,e,o,f,t,n,t,e,
m,e,a,g,m,a,n,h,e,
o,r,t,y,f,t,e,g,r,
a,s,s,t,h,i,n,i,n,
h,a,v,e,t,t,i,f,e,
c,e,f,o,r,e,n,m,b,
e,e,n,g,n,n,i,c,u,
h,i,s,s,t,e,h,a,e,
r,o,w,h,m,n,h,h,i,
i,t,n,g,w,k,i,w,o,
r,o,y,e,n,j,d,i,g,
a,n,i,n,u,n,n,f,c,
a,n,o,a,m,r,i,s,a,
i,a,y,f,p,l,e,n,d,
r,i,e,d,f,s,h,g,u,
i,i,n,i,s,t,a,d,u,
c,h,f,s,l,p,o,h,e,
t,h,e,t,h,t,w,i,p,
i,e,l,o,e,v,t,o,d,
l,e,e,a,b,o,b,e,d,
t,a,s,p,l,e,a,m,n,
d,i,y,a,m,a,c,l,o,
d,i,p,o,f,r,l,d,w,
o,t,h,e,i,n,e,g,y,
a,t,s,t,r,e,w,l,y,
n,r,e,n,t,i,n,e,b,
e,a,t,o,e,v,e,l,i,
i,b,e,i,s,s,t,h,s,
t,e,r,e,n,t,s,t,i,
b,e,o,u,r,i,n,u,t,
h,t,r,h,a,t,e,t,h,
a,p,o,s,l,e,t,i,b,
o,s,s,e,p,h,e,r,d,
w,h,a,n,u,t,e,t,r,
t,h,d,a,s,d,e,c,o,
r,r,e,e,e,n,s,b,t,
h,a,h,a,o,w,w,k,n,
y,t,o,n,l,e,d,o,n,
e,d,w,e,a,i,a,s,s,
t,w,w,h,a,o,w,o,k,
n,n,t,e,v,e,o,r,e,
r,e,t,h,o,b,e,d,t,
n,e,e,o,t,d,o,n,w,
e,i,t,y,a,l,e,r,e,
t,h,m,e,s,c,o,t,b,
e,h,a,r,d,t,c,o,t,
r,e,h,a,i,s,t,i,t,
m,e,s,h,o,e,i,r,t,
h,d,t,o,n,e,t,u,r,
r,e,a,v,e,s,h,a,t,
e,e,g,d,e,l,h,e,e,
r,t,f,t,n,g,a,t,i,
m,e,e,h,e,o,f,t,r,
d,e,c,o,e,r,e,t,h,
a,k,e,y,t,t,h,t,l,
y,a,n,o,r,t,m,p,r,
e,i,m,o,a,n,d,r,s,
n,i,o,s,e,e,i,r,t,
h,a,n,d,e,r,o,t,h,
a,n,o,n,e,t,h,n,w,
i,i,o,u,s,s,s,c,n,
d,i,a,i,e,n,d,a,g,
t,h,e,e,t,e,y,s,t,
h,n,t,s,v,e,o,f,e,
o,l,n,t,r,c,o,t,a,
l,t,o,o,s,t,l,m,v,
e,a,h,a,a,n,d,r,h,
t,h,e,e,o,n,t,h,s,
o,i,a,l,i,c,o,f,f,
o,r,u,n,i,e,j,y,t,
h,i,t,h,o,r,u,t,l,
e,a,t,t,e,l,i,a,v,
e,y,h,t,h,b,u,t,e,
n,i,s,t,o,l,s,t,t,
e,a,a,t,l,e,m,f,t,
h,t,o,b,e,s,h,e,n,
d,t,w,a,v,i,e,o,f,
i,n,t,p,o,n,t,a,s,
e,p,r,e,t,o,e,r,e,
t,h,a,r,e,e,y,y,t,
h,w,a,a,n,y,c,e,u,
e,n,f,l,e,i,n,t,l,
l,i,t,v,e,n,h,a,t,
e,s,o,f,a,l,i,d,u,
i,v,i,n,d,s,e,t,h,
o,u,t,t,s,o,i,n,r,
p,o,a,i,a,y,f,p,l,
g,a,s,i,n,y,t,h,e,
r,s,e,v,y,i,r,e,c,
e,c,n,s,s,l,a,u,r,
p,t,o,d,a,p,o,a,t,
y,t,l,i,a,b,i,u,r,
e,s,o,i,n,e,r,m,n,
d,n,d,u,s,a,i,o,n,
n,t,n,t,e,r,i,g,o,
u,i,n,a,l,l,g,n,s,
s,i,s,k,l,r,i,u,a,
v,i,d,d,i,n,i,n,h,
a,s,u,c,t,o,a,c,h,
r,o,a,p,p,n,y,r,y,
a,s,a,c,e,s,n,e,d,
u,n,a,n,s,k,y,r,i,
o,t,h,s,b,n,s,i,i,
o,g,a,t,l,e,e,d,e,
t,h,r,o,f,b,e,m,e,
m,o,r,e,n,i,a,s,u,
r,n,o,t,n,g,t,y,i,
f,t,r,y,o,t,e,g,r,
a,l,s,t,c,a,s,s,i,
l,a,h,e,c,t,t,t,h,
a,e,e,t,o,s,m,e,e,
c,o,a,v,r,i,h,a,i,
a,y,f,p,l,i,t,h,s,
w,i,o,n,s,s,s,c,u,
d,i,g,m,y,i,n,l,o,
w,o,l,u,t,f,l,b,g,
o,a,a,l,c,i,p,i,n,
a,p,r,i,s,i,e,s,e,
m,r,e,n,o,u,s,o,f,
o,n,a,t,i,e,r,l,i,
b,d,e,t,h,e,n,g,a,
t,i,t,r,f,i,l,i,n,
